latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
54.25919,133.17995,309.45,2.91,1.63,2025-06-26,0020,T,61,6.1NRT,294.91,24.95,D
37.56363,139.81531,312.22,1,1,2025-06-26,0024,T,40,6.1NRT,290.9,5.83,D
37.5621,139.82637,312.48,1,1,2025-06-26,0024,T,54,6.1NRT,290.9,5.72,D
1.70126,127.87582,355.14,1.49,1.21,2025-06-26,0035,T,97,6.1NRT,292.91,127.78,D
1.69949,127.88855,326.92,1.49,1.2,2025-06-26,0035,T,80,6.1NRT,292.4,38.5,D
1.69655,127.86903,326.34,1.49,1.21,2025-06-26,0035,T,79,6.1NRT,290.56,39.4,D
1.69458,127.88253,339.58,1.49,1.2,2025-06-26,0035,T,90,6.1NRT,292.71,71.06,D
0.49027,127.98238,313.06,1.4,1.17,2025-06-26,0035,T,44,6.1NRT,289.55,10.72,D
0.48855,127.99458,311.15,1.4,1.17,2025-06-26,0035,T,28,6.1NRT,292.15,9.48,D
-1.81478,136.75134,306.85,1.95,1.36,2025-06-26,0035,T,0,6.1NRT,290.59,11.89,D
-8.53859,122.77614,311.42,2.5,1.52,2025-06-26,0037,T,12,6.1NRT,294.89,24.18,D
-11.27019,132.00925,332.26,1.22,1.1,2025-06-26,0037,T,85,6.1NRT,290.74,36.44,D
-11.27164,132.0202,321.25,1.22,1.1,2025-06-26,0037,T,70,6.1NRT,290.05,19.19,D
-11.27989,132.00789,332.7,1.22,1.1,2025-06-26,0037,T,85,6.1NRT,290.75,35.82,D
-11.28135,132.01881,326.88,1.22,1.1,2025-06-26,0037,T,80,6.1NRT,290.56,26.75,D
-11.28281,132.02979,318.16,1.23,1.1,2025-06-26,0037,T,52,6.1NRT,290.69,15.33,D
-11.38345,132.02109,315.15,1.23,1.1,2025-06-26,0037,T,71,6.1NRT,282.75,13.61,D
-11.39172,132.00885,312.18,1.23,1.1,2025-06-26,0037,T,39,6.1NRT,286.54,10.62,D
-11.36784,131.43532,315.99,1.14,1.07,2025-06-26,0037,T,47,6.1NRT,285.4,13.07,D
-11.38527,131.42253,314.86,1.14,1.06,2025-06-26,0037,T,42,6.1NRT,283.77,12.17,D
-11.49162,132.06789,326.87,1.24,1.11,2025-06-26,0037,T,64,6.1NRT,291.3,28.8,D
-11.39522,130.95784,306.97,1.09,1.04,2025-06-26,0037,T,65,6.1NRT,282.15,7.03,D
-11.49729,131.35912,306.53,1.14,1.06,2025-06-26,0037,T,63,6.1NRT,279.53,7.6,D
-11.42164,130.21582,320.85,1.03,1.01,2025-06-26,0037,T,51,6.1NRT,287.77,15.24,D
-11.42294,130.22504,314.82,1.03,1.01,2025-06-26,0037,T,36,6.1NRT,287.58,9.95,D
-11.4306,130.21455,316.16,1.03,1.01,2025-06-26,0037,T,40,6.1NRT,288.4,10.9,D
-11.80825,132.99402,329.72,1.43,1.18,2025-06-26,0037,T,86,6.1NRT,291,42.41,D
-11.80993,133.00685,317.6,1.44,1.19,2025-06-26,0037,T,67,6.1NRT,289.72,19.49,D
-11.81702,132.9798,325.85,1.43,1.18,2025-06-26,0037,T,79,6.1NRT,291.3,33.42,D
-11.81871,132.99265,331.91,1.43,1.18,2025-06-26,0037,T,87,6.1NRT,291.91,46.11,D
-11.86455,132.96719,315.87,1.43,1.18,2025-06-26,0037,T,75,6.1NRT,290.95,18.35,D
-11.86619,132.98003,318.34,1.43,1.18,2025-06-26,0037,T,77,6.1NRT,291.59,22.15,D
-11.67284,131.15842,306.13,1.12,1.05,2025-06-26,0037,T,63,6.1NRT,279.64,7.52,D
-11.65465,130.95938,304.72,1.09,1.04,2025-06-26,0037,T,60,6.1NRT,284.55,4.93,D
-11.9154,132.87004,312.03,1.41,1.18,2025-06-26,0037,T,53,6.1NRT,292.41,10.98,D
-11.91709,132.88269,315.56,1.41,1.18,2025-06-26,0037,T,73,6.1NRT,292.42,15.38,D
-11.92385,132.93343,338.78,1.42,1.18,2025-06-26,0037,T,91,6.1NRT,294.05,60.02,D
